# vla_name                        ra              dec              f_fw250                  e_fw250            f_vw250                  e_vw250            fwhm250            d250               f_sse250         quality250        f_fw350             e_fw350         f_vw350             e_vw350         fwhm350            d350               f_sse350         quality350       f_fw500             e_fw500         f_vw500          e_vw500         fwhm500          d500              f_sse500         quality500       
  "VIRMOS_1.4GHZ_J022412-045954" 36.0519218445   -4.99846982956   70.7646367635            2.50369927199      72.9614121252            3.6317062648       16.9493681508      0.0392008844064    63.8137226463    187.58396333      38.4675382298       2.60918109682   44.0830962283       4.03980683442   20.8821973601      0.051012655666     44.2768823236    127.76490714     21.0424628704       3.43744387227   26.9792051345    5.47612795449   27.8639616873    0.0235155571483   30.062756231     25.3946980101    
  "VIRMOS_1.4GHZ_J022538-045953" 36.4109191895   -4.99818992615   62.062924673             2.79644202606      117.431774551            6.99515606711      34.7234866115      0.569333152163     17.8761754146    -0.204867677691   249.293821655       6.64481151343   169.404764786       6.99068754609   29.5809237305      0.593879443482     1.0E-4           -19.9251034096   88.5226105647       3.83106676178   83.7033413622    4.47472293743   37.7371175441    0.588157830943    1.0E-4           -18.8836503879   
  "VIRMOS_1.4GHZ_J022434-045949" 36.1435394287   -4.99702978134   51.0421800915            2.51072015974      40.3036112936            2.61110996252      24.0648458163      0.0767977060919    32.7384797585    41.2562009487     59.9947217888       2.47916810288   54.4445360807       2.94984859314   26.9825945701      0.0610594883635    53.4383005856    205.135819641    43.49298271         3.13263418207   45.4575084492    4.1670673074    32.9946657097    0.0487245309564   49.2840280235    104.425383161    
  "VIRMOS_1.4GHZ_J022531-045940" 36.3820800781   -4.99447011948   20.0908360069            2.95094922585      23.543382827             4.74985327974      14.8871529243      0.186845183683     22.2479298913    8.40185706267     7.92682851293       2.73382219255   14.5990046085       5.66127177221   15.4406468154      0.138363018449     18.0924467212    7.57278232844    5.30452340751       3.29111968901   23.9234904087    11.310059785    12.5733649086    0.149508083849    12.7735206137    -9.00933526047   
  "VIRMOS_1.4GHZ_J022719-045934" 36.8327903748   -4.99278020859   19.2094295354            2.60012042915      21.8292473935            4.05639577188      15.4234351027      0.133071968062     13.6201680359    -7.53848368793    11.7676068443       2.64313308923   14.9986693302       4.43998579133   18.7789133733      0.177703880583     12.2589536388    -5.58796813368   37.6246348116       3.83747032221   4.24367576881    5.78568086167   24.2711198876    0.142853323703    4.85481814828    -15.272751819    
  "VIRMOS_1.4GHZ_J022427-045933" 36.1147499084   -4.99249982834   60.5198492368            2.58477135212      53.9733111362            3.11746867584      19.9591002398      0.00297395470501   57.3539102195    151.297501565     44.6543857457       2.64893166869   34.5304810683       2.61215062129   34.376492831       0.0911420544634    35.4869806709    77.8937536907    27.1407644132       3.32585341475   21.9629687229    2.88273549512   52.3959174721    0.152530252631    15.3363666006    -4.53327694755   
  "VIRMOS_1.4GHZ_J022434-045932" 36.1449584961   -4.99236011505   44.0612790841            2.53661472195      32.6289316212            2.38941898323      27.5586055885      0.20806546728      8.83362123419    -11.7674413673    56.3669383726       2.5084970366    52.2421456572       3.18946367504   26.3431388639      0.245192686451     25.3252937748    28.4957021238    40.283713483        3.13117377175   43.8968121717    4.40088181321   31.5755955986    0.249925729591    29.6821228818    28.0894617563    
  "VIRMOS_1.4GHZ_J022604-045932" 36.5188789368   -4.99231004715   144.891349871            2.58528368105      128.559412021            3.10997305518      20.0824615154      0.030898013736     118.597822982    681.985074819     71.0658215206       2.70868558552   56.0798995939       2.75288646214   32.9100650569      0.0492361128014    58.7874913002    221.381032756    29.7657947509       3.33134683809   23.9383593039    2.49818105169   61.5131594133    0.179743287746    20.3951762538    4.12734869455    
  "VIRMOS_1.4GHZ_J022429-045927" 36.12292099     -4.99092006683   62.3003745095            2.52642503454      60.2519362545            3.32308139187      18.1670520082      0.0249713432787    65.3238906178    207.154221187     35.5893440872       2.60493635251   29.1882414831       2.79598837253   31.5764027811      0.229931638182     19.8976508184    12.7981006802    22.3811794397       3.44810506034   20.0528554765    3.77291097015   41.1171434732    0.479825414286    12.8872046799    -8.25667244371   
  "VIRMOS_1.4GHZ_J022440-045926" 36.1677093506   -4.99071979523   46.1617363348            2.46835089842      36.6862598607            2.59788462209      23.72829739        0.0546076487102    32.4584620864    39.9674171754     46.0892736206       2.56476619603   40.4263895882       2.96166571095   28.2188152671      0.0942998092956    40.6019884298    102.427903224    34.6484381098       3.22554240087   34.6796094315    4.1070773844    34.7769683714    0.0510124681272   32.5920571315    32.285008792     
  "VIRMOS_1.4GHZ_J022617-045923" 36.5722503662   -4.98994016647   16.0178295593            2.57195228654      24.4517086142            4.8751429502       12.3981132278      0.0120027991057    25.5382919189    14.9193876994     9.06349949276       2.84622241014   10.7244480843       4.34190901938   19.6967121393      0.333510695412     8.74727209395    -10.723105229    150.515237644       0.0             42.9201104846    35.1652954476   4.19065646712    0.266491922299    1.0E-4           -17.6595580404   
  "VIRMOS_1.4GHZ_J022602-045920" 36.5122108459   -4.98914003372   188.777199512            4.21415365395      186.140400975            4.63330279057      19.0047075436      0.340839769398     1.0E-4           -18.3742679114    82.46017667         2.66214521843   69.3614499897       2.74725279782   31.9432072504      0.337756860411     1.0E-4           -19.4248982634   28.8593888218       3.33322521047   24.922167082     3.33529719767   45.5924827763    0.247718856984    9.77108930405    -11.7901134676   
