# vla_name                    ra              dec             f_fw250           e_fw250          f_vw250          e_vw250           fwhm250          d250               f_sse250         quality250       f_fw350             e_fw350            f_vw350            e_vw350            fwhm350            d350               f_sse350         quality350        f_fw500             e_fw500         f_vw500             e_vw500            fwhm500           d500              f_sse500          quality500        
  "EGS20 J141913.48+523106.3" 214.806167603   52.5184211731   20.6235772883     2.97133255527    18.4913369102    3.7585849562      19.6026304567    0.142605299461     9.77059087803    -12.6021474523   18.1116931192       2.63763150563      18.2339215186      3.50860152288      23.6853740356      0.288423639424     8.23451722894    -11.9536214724    11.7591220442       3.75034862735   12.935502263        5.52633108017      32.2019747234     0.240343071341    9.87615546297     -12.6614528146    
  "EGS20 J141758.05+523134.5" 214.491912842   52.5262794495   13.2199970097     2.92492372372    10.4438158527    3.1220384173      44.7800630528    0.705582667826     2.19505220601    -16.3788581561   16.5368077514       2.59296598518      12.5926854887      2.38231996951      37.2167019521      0.398682767701     2.77356034106    -16.1336529745    16.3815696611       3.43056604141   14.2694916448       2.47782520175      81.4632045732     0.726598156233    4.61605342177     -15.4875512957    
  "EGS20 J141736.35+523135.8" 214.401473999   52.5266189575   12.8698085906     2.65484692298    16.4144546553    4.59276507845     13.9455077353    0.164298362727     7.07854624158    -13.8870683884   14.6721355547       2.64646506153      15.1162539556      3.77695543837      22.9648905623      0.284385239943     1.32863173801    -16.7724058061    11.8325980489       3.39536740428   9.14325196801       2.4300285235       79.5608477045     0.65177726483     3.59258285542     -15.8618612464    
  "EGS20 J141732.61+523203.3" 214.385894775   52.5342483521   5.24912935722     3.70011508769    994.334139929    481917.864921     2490.42411684    0.559793247769     3.69177588426    -15.8162829406   6.65039435217       2.80311737929      5.09488940911      1.82329269698      66.0760788227      0.661716183726     2.5645392116     -16.244843142     11.1231173297       3.37336375702   9.00147307939       3.06792959273      49.6389573253     0.466773775573    3.2236092712      -16.0123719134    
  "EGS20 J141917.89+523223.3" 214.824569702   52.5398101807   19.2149758945     3.16185231847    17.6001338212    4.13119581656     19.1437368359    0.129151577861     13.4502827666    -9.67049594855   12.7551129448       3.15618878974      151.977147551      34.9697364061      2.19762430885      0.0779164346248    8.39647659297    -12.936588016     37.0075123346       5.10918597156   43.4753285323       8.86534116012      31.1275636434     0.874169345475    2.84413794403     -16.1525972543    
  "EGS20 J141836.64+523243.9" 214.652694702   52.5455284119   50.939521989      2.86490015649    54.1972397688    4.1740295961      16.4250687824    0.00780563641987   52.9216132621    96.914081767     25.6225635929       2.86099825107      27.6225324407      4.13948153679      22.0757778117      0.042869336557     28.9079460937    31.7288747925     15.6325968255       4.06980575805   13.199366483        3.70002598756      53.7619451499     0.847235976711    3.09520327795     -16.0682597619    
  "EGS20 J141809.94+523300.2" 214.541442871   52.5500717163   ""                0.0              14.9916634209    10.6550979861     10.3782246609    0.544812343723     1.0E-4           -17.7923507464   20.438736151        2.91728268771      -1.23819887771     12.1862584118      6.40709512195      0.691743677865     1.0E-4           -18.3484213832    20.5287998726       4.83021028544   6.43901532452       12.3037936391      11.7784460624     0.2548979746      0.272967271479    -16.9229065463    
  "EGS20 J141754.89+523307.1" 214.478729248   52.551990509    9.77642267297     2.66031006473    15.2388362149    5.26395294245     11.9428982305    0.129687946457     11.2361028213    -10.4268781077   11.3964290281       2.62321126661      18.0143682541      5.29512294318      15.7237585201      0.279016522427     9.07877678456    -10.7175972556    5.28570102758       3.27186253936   11.0646350639       6.96032470396      20.6690025685     0.262602797389    11.2998959972     -10.1375143001    
  "EGS20 J141824.01+523322.4" 214.600067139   52.5562515259   4.64006547336     2.72668683081    79.0774866101    35.6062117386     1.27095514453    0.269910058603     3.91194411309    -15.7376517124   4.81499650062       4.44286051603      32.3727435425      22.9858999509      4.44271550738      0.327594943899     1.71689801502    -16.6095812337    5.3109304423        3.54208470372   37.1367980246       21.7044327253      7.82747414404     0.33934725724     0.0521926161859   -16.9713306456    
  "EGS20 J141858.84+523335.3" 214.745178223   52.5598182678   10.5752434498     2.93433820998    15.9755250962    5.51872271858     12.7164258514    0.00953528049128   17.7081837035    -4.5162894734    34.4610534224       7.22957334998      19.4205825544      6.02662934881      16.3615015144      0.447932799542     8.4528961009     -12.0124127175    17.6590187861       4.36662678328   59.9054566648       37.2066288083      4.26765701948     0.109446313239    5.61656855081     -14.9984811724    
  "EGS20 J141741.16+523355.5" 214.42149353    52.5654296875   10.6256782613     2.61673234863    10.5610807477    3.61088729141     17.6337705328    0.167975179518     3.5673030614     -15.8596180395   7.59768777395       4.65150822195      10.8649609878      6.05155488792      13.8142494959      0.139967798029     4.50922350659    -15.0897688491    22.8432629763       3.664217044     39.7981878857       32.2322629197      4.48393252393     0.0629506558092   3.96233859489     -15.7120803022    
  "EGS20 J141904.06+523420.2" 214.766921997   52.5722808838   39.7884912529     2.67352543655    29.7220132981    2.62091397819     26.3117732714    0.100938861661     25.0498144437    13.4110762961    36.4531693148       2.68929629806      26.4505142585      2.07293366579      45.3636771339      0.453747779369     15.936774296     3.9378086416      28.7334307974       3.27084873443   25.0201858013       3.20845143283      46.2317461881     0.530940328872    14.8977527261     -5.98610221526    
  "EGS20 J141659.62+523459.7" 214.248413086   52.5832595825   0.520117082305    2.52038675819    3.06977886541    6.45123816057     9.03008061359    0.188028085837     7.29404131182    -13.6689014092   6.16391940425       2.62462819392      21.6618096597      10.790403471       5.92487540501      0.390998953778     6.16406178509    -13.8398895589    7.73189111344       3.49428297155   4.1263256747        4.28981612272      31.8761924119     0.102447756089    4.38600771984     -15.4311209726    
